State,County,County/St,McCainVt,ObamaVt,McCainPt,ObamaPt,PtDiff8,PtDiffCrp8,PVI08,BushVt,KerryVt,BushPt,KerryPt,PtDiff4,PtDiffCrp4,PVI04,PVIShift,AdjShift,PtGOPChg,Cnty_US
Alabama,Autauga,"Autauga, AL ",17398,6091,74.07%,25.93%,48.14%,30.00%,54.30%,15196,4758,76.16%,23.84%,52.31%,30.00%,49.82%,-4.17%,4.48%,-2.74%,5.70%
Alabama,Baldwin,"Baldwin, AL ",61192,19362,75.96%,24.04%,51.93%,30.00%,58.09%,52971,15599,77.25%,22.75%,54.50%,30.00%,52.01%,-2.57%,6.08%,-1.67%,6.78%
Alabama,Barbour,"Barbour, AL ",5862,5685,50.77%,49.23%,1.53%,1.53%,7.70%,5899,4832,54.97%,45.03%,9.94%,9.94%,7.46%,-8.41%,0.24%,-7.65%,0.79%
Alabama,Bibb,"Bibb, AL ",6247,2289,73.18%,26.82%,46.37%,30.00%,52.53%,5472,2089,72.37%,27.63%,44.74%,30.00%,42.25%,1.63%,10.28%,1.12%,9.57%
Alabama,Blount,"Blount, AL ",20362,3518,85.27%,14.73%,70.54%,30.00%,76.70%,17386,3938,81.53%,18.47%,63.07%,30.00%,60.58%,7.47%,16.12%,4.58%,13.02%
Alabama,Bullock,"Bullock, AL ",1389,4001,25.77%,74.23%,-48.46%,-30.00%,-42.29%,1494,3210,31.76%,68.24%,-36.48%,-30.00%,-38.97%,-11.98%,-3.33%,-18.86%,-10.42%
Alabama,Butler,"Butler, AL ",5472,4174,56.73%,43.27%,13.46%,13.46%,19.62%,4979,3413,59.33%,40.67%,18.66%,18.66%,16.17%,-5.20%,3.45%,-4.39%,4.06%
Alabama,Calhoun,"Calhoun, AL ",32326,16325,66.44%,33.56%,32.89%,30.00%,39.05%,29814,15083,66.41%,33.59%,32.81%,30.00%,30.32%,0.08%,8.73%,0.06%,8.50%
Alabama,Chambers,"Chambers, AL ",8060,6782,54.31%,45.69%,8.61%,8.61%,14.78%,7622,5347,58.77%,41.23%,17.54%,17.54%,15.05%,-8.93%,-0.28%,-7.60%,0.85%
Alabama,Cherokee,"Cherokee, AL ",7285,2299,76.01%,23.99%,52.02%,30.00%,58.19%,5923,3040,66.08%,33.92%,32.17%,30.00%,29.68%,19.86%,28.51%,15.03%,23.47%
Alabama,Chilton,"Chilton, AL ",13934,3666,79.17%,20.83%,58.34%,30.00%,64.51%,12829,3778,77.25%,22.75%,54.50%,30.00%,52.01%,3.84%,12.49%,2.49%,10.93%
Alabama,Choctaw,"Choctaw, AL ",4220,3663,53.53%,46.47%,7.07%,7.07%,13.23%,3897,3303,54.13%,45.88%,8.25%,8.25%,5.76%,-1.18%,7.47%,-1.09%,7.35%
Alabama,Clarke,"Clarke, AL ",7455,5907,55.79%,44.21%,11.59%,11.59%,17.75%,6730,4627,59.26%,40.74%,18.52%,18.52%,16.03%,-6.93%,1.72%,-5.85%,2.59%
Alabama,Clay,"Clay, AL ",4946,1722,74.18%,25.82%,48.35%,30.00%,54.52%,4624,1893,70.95%,29.05%,41.91%,30.00%,39.42%,6.44%,15.10%,4.54%,12.98%
Alabama,Cleburne,"Cleburne, AL ",5204,1166,81.70%,18.30%,63.39%,30.00%,69.56%,4370,1391,75.85%,24.15%,51.71%,30.00%,49.22%,11.68%,20.33%,7.70%,16.14%
Alabama,Coffee,"Coffee, AL ",14909,5068,74.63%,25.37%,49.26%,30.00%,55.43%,13019,4480,74.40%,25.60%,48.80%,30.00%,46.31%,0.46%,9.12%,0.31%,8.76%
Alabama,Colbert,"Colbert, AL ",14729,9698,60.30%,39.70%,20.60%,20.60%,26.76%,13188,10598,55.44%,44.56%,10.89%,10.89%,8.40%,9.71%,18.36%,8.75%,17.20%
Alabama,Conecuh,"Conecuh, AL ",3461,3411,50.36%,49.64%,0.73%,0.73%,6.89%,3271,2719,54.61%,45.39%,9.22%,9.22%,6.73%,-8.49%,0.17%,-7.77%,0.67%
Alabama,Coosa,"Coosa, AL ",3245,2269,58.85%,41.15%,17.70%,17.70%,23.87%,2905,2055,58.57%,41.43%,17.14%,17.14%,14.65%,0.56%,9.22%,0.48%,8.92%
Alabama,Covington,"Covington, AL ",12431,3238,79.33%,20.67%,58.67%,30.00%,64.84%,11119,3423,76.46%,23.54%,52.92%,30.00%,50.43%,5.75%,14.40%,3.76%,12.20%
Alabama,Crenshaw,"Crenshaw, AL ",4316,1938,69.01%,30.99%,38.02%,30.00%,44.19%,3777,1698,68.99%,31.01%,37.97%,30.00%,35.48%,0.05%,8.70%,0.04%,8.48%
Alabama,Cullman,"Cullman, AL ",27699,5601,83.18%,16.82%,66.36%,30.00%,72.53%,26818,8045,76.92%,23.08%,53.85%,30.00%,51.36%,12.51%,21.17%,8.13%,16.58%
Alabama,Dale,"Dale, AL ",13873,5257,72.52%,27.48%,45.04%,30.00%,51.20%,13621,4484,75.23%,24.77%,50.47%,30.00%,47.98%,-5.43%,3.23%,-3.61%,4.84%
Alabama,Dallas,"Dallas, AL ",6791,13958,32.73%,67.27%,-34.54%,-30.00%,-28.38%,7335,11175,39.63%,60.37%,-20.75%,-20.75%,-23.23%,-13.80%,-5.14%,-17.41%,-8.96%
Alabama,DeKalb,"De Kalb, AL ",17951,5654,76.05%,23.95%,52.09%,30.00%,58.26%,16904,7092,70.45%,29.55%,40.89%,30.00%,38.40%,11.20%,19.86%,7.95%,16.40%
Alabama,Elmore,"Elmore, AL ",25695,8268,75.66%,24.34%,51.31%,30.00%,57.48%,22056,6471,77.32%,22.68%,54.63%,30.00%,52.14%,-3.32%,5.33%,-2.15%,6.30%
Alabama,Escambia,"Escambia, AL ",9365,5176,64.40%,35.60%,28.81%,28.81%,34.97%,8513,3814,69.06%,30.94%,38.12%,30.00%,35.63%,-9.31%,-0.66%,-6.74%,1.70%
Alabama,Etowah,"Etowah, AL ",30562,13480,69.39%,30.61%,38.79%,30.00%,44.95%,26999,15328,63.79%,36.21%,27.57%,27.57%,25.09%,11.21%,19.87%,8.79%,17.23%
Alabama,Fayette,"Fayette, AL ",5875,1988,74.72%,25.28%,49.43%,30.00%,55.60%,5534,2408,69.68%,30.32%,39.36%,30.00%,36.87%,10.07%,18.73%,7.23%,15.67%
Alabama,Franklin,"Franklin, AL ",8048,3469,69.88%,30.12%,39.76%,30.00%,45.92%,7690,4514,63.01%,36.99%,26.02%,26.02%,23.54%,13.73%,22.39%,10.90%,19.34%
Alabama,Geneva,"Geneva, AL ",9314,2106,81.56%,18.44%,63.12%,30.00%,69.28%,8342,2113,79.79%,20.21%,59.58%,30.00%,57.09%,3.54%,12.19%,2.22%,10.66%
Alabama,Greene,"Greene, AL ",876,4402,16.60%,83.40%,-66.81%,-30.00%,-60.64%,958,3764,20.29%,79.71%,-59.42%,-30.00%,-61.91%,-7.38%,1.27%,-18.19%,-9.75%
Alabama,Hale,"Hale, AL ",3196,4969,39.14%,60.86%,-21.71%,-21.71%,-15.55%,3281,4631,41.47%,58.53%,-17.06%,-17.06%,-19.55%,-4.65%,4.00%,-5.61%,2.83%
Alabama,Henry,"Henry, AL ",5558,2290,70.82%,29.18%,41.64%,30.00%,47.81%,4881,2452,66.56%,33.44%,33.12%,30.00%,30.64%,8.52%,17.17%,6.40%,14.84%
Alabama,Houston,"Houston, AL ",28295,12184,69.90%,30.10%,39.80%,30.00%,45.97%,26874,9144,74.61%,25.39%,49.23%,30.00%,46.74%,-9.42%,-0.77%,-6.32%,2.13%
Alabama,Jackson,"Jackson, AL ",14968,6367,70.16%,29.84%,40.31%,30.00%,46.48%,11534,8635,57.19%,42.81%,14.37%,14.37%,11.89%,25.94%,34.59%,22.68%,31.12%
Alabama,Jefferson,"Jefferson, AL ",149843,166015,47.44%,52.56%,-5.12%,-5.12%,1.05%,158680,132286,54.54%,45.46%,9.07%,9.07%,6.58%,-14.19%,-5.54%,-13.01%,-4.57%
Alabama,Lamar,"Lamar, AL ",5419,1614,77.05%,22.95%,54.10%,30.00%,60.27%,4894,1956,71.45%,28.55%,42.89%,30.00%,40.40%,11.21%,19.87%,7.85%,16.29%
Alabama,Lauderdale,"Lauderdale, AL ",24058,13318,64.37%,35.63%,28.74%,28.74%,34.90%,22161,14628,60.24%,39.76%,20.48%,20.48%,17.99%,8.26%,16.91%,6.86%,15.30%
Alabama,Lawrence,"Lawrence, AL ",9269,5159,64.24%,35.76%,28.49%,28.49%,34.65%,7730,6155,55.67%,44.33%,11.34%,11.34%,8.86%,17.14%,25.80%,15.40%,23.84%
Alabama,Lee,"Lee, AL ",32334,21410,60.16%,39.84%,20.33%,20.33%,26.49%,27972,16227,63.29%,36.71%,26.57%,26.57%,24.09%,-6.25%,2.41%,-4.94%,3.51%
Alabama,Limestone,"Limestone, AL ",23558,9530,71.20%,28.80%,42.40%,30.00%,48.56%,19702,9126,68.34%,31.66%,36.69%,30.00%,34.20%,5.71%,14.36%,4.18%,12.62%
Alabama,Lowndes,"Lowndes, AL ",1807,5447,24.91%,75.09%,-50.18%,-30.00%,-44.01%,1786,4233,29.67%,70.33%,-40.65%,-30.00%,-43.14%,-9.52%,-0.87%,-16.05%,-7.61%
Alabama,Macon,"Macon, AL ",1396,9444,12.88%,87.12%,-74.24%,-30.00%,-68.08%,1570,7800,16.76%,83.24%,-66.49%,-30.00%,-68.98%,-7.75%,0.90%,-23.14%,-14.70%
Alabama,Madison,"Madison, AL ",86910,64062,57.57%,42.43%,15.13%,15.13%,21.30%,77173,52644,59.45%,40.55%,18.90%,18.90%,16.41%,-3.76%,4.89%,-3.16%,5.28%
Alabama,Marengo,"Marengo, AL ",5511,5925,48.19%,51.81%,-3.62%,-3.62%,2.55%,5255,5037,51.06%,48.94%,2.12%,2.12%,-0.37%,-5.74%,2.92%,-5.62%,2.82%
Alabama,Marion,"Marion, AL ",9530,2597,78.58%,21.42%,57.17%,30.00%,63.34%,8983,3808,70.23%,29.77%,40.46%,30.00%,37.97%,16.71%,25.37%,11.90%,20.34%
Alabama,Marshall,"Marshall, AL ",25080,7021,78.13%,21.87%,56.26%,30.00%,62.42%,22783,8452,72.94%,27.06%,45.88%,30.00%,43.39%,10.38%,19.03%,7.11%,15.56%
Alabama,Mobile,"Mobile, AL ",97670,81741,54.44%,45.56%,8.88%,8.88%,15.04%,92014,63732,59.08%,40.92%,18.16%,18.16%,15.67%,-9.28%,-0.63%,-7.85%,0.59%
Alabama,Monroe,"Monroe, AL ",6173,5023,55.14%,44.86%,10.27%,10.27%,16.44%,5831,3666,61.40%,38.60%,22.80%,22.80%,20.31%,-12.53%,-3.87%,-10.20%,-1.76%
Alabama,Montgomery,"Montgomery, AL ",41972,61999,40.37%,59.63%,-19.26%,-19.26%,-13.10%,44097,45160,49.40%,50.60%,-1.19%,-1.19%,-3.68%,-18.07%,-9.42%,-18.29%,-9.85%
Alabama,Morgan,"Morgan, AL ",35986,13882,72.16%,27.84%,44.33%,30.00%,50.49%,32477,14131,69.68%,30.32%,39.36%,30.00%,36.87%,4.96%,13.62%,3.56%,12.00%
Alabama,Perry,"Perry, AL ",1676,4423,27.48%,72.52%,-45.04%,-30.00%,-38.87%,1738,3767,31.57%,68.43%,-36.86%,-30.00%,-39.35%,-8.18%,0.47%,-12.96%,-4.52%
Alabama,Pickens,"Pickens, AL ",5426,4584,54.21%,45.79%,8.41%,8.41%,14.58%,5170,3915,56.91%,43.09%,13.81%,13.81%,11.33%,-5.40%,3.25%,-4.75%,3.70%
Alabama,Pike,"Pike, AL ",7981,5856,57.68%,42.32%,15.36%,15.36%,21.52%,7483,4334,63.32%,36.68%,26.65%,26.65%,24.16%,-11.29%,-2.64%,-8.92%,-0.47%
Alabama,Randolph,"Randolph, AL ",7169,3062,70.07%,29.93%,40.14%,30.00%,46.31%,6127,2817,68.50%,31.50%,37.01%,30.00%,34.52%,3.13%,11.79%,2.29%,10.73%
Alabama,Russell,"Russell, AL ",8700,10078,46.33%,53.67%,-7.34%,-7.34%,-1.17%,8337,8375,49.89%,50.11%,-0.23%,-0.23%,-2.72%,-7.11%,1.54%,-7.13%,1.32%
Alabama,St. Clair,"Shelby, AL ",27630,6088,81.94%,18.06%,63.89%,30.00%,70.05%,23500,5456,81.16%,18.84%,62.32%,30.00%,59.83%,1.57%,10.23%,0.97%,9.41%
Alabama,Shelby,"St. Clair, AL ",68945,20575,77.02%,22.98%,54.03%,30.00%,60.20%,63435,14850,81.03%,18.97%,62.06%,30.00%,59.57%,-8.03%,0.62%,-4.95%,3.49%
Alabama,Sumter,"Sumter, AL ",1723,5218,24.82%,75.18%,-50.35%,-30.00%,-44.19%,1880,4527,29.34%,70.66%,-41.31%,-30.00%,-43.80%,-9.04%,-0.39%,-15.40%,-6.96%
Alabama,Talladega,"Talladega, AL ",20109,13769,59.36%,40.64%,18.71%,18.71%,24.88%,18331,11374,61.71%,38.29%,23.42%,23.42%,20.93%,-4.71%,3.95%,-3.81%,4.63%
Alabama,Tallapoosa,"Tallapoosa, AL ",13105,6052,68.41%,31.59%,36.82%,30.00%,42.98%,12392,5451,69.45%,30.55%,38.90%,30.00%,36.41%,-2.08%,6.57%,-1.50%,6.94%
Alabama,Tuscaloosa,"Tuscaloosa, AL ",35351,32738,51.92%,48.08%,3.84%,3.84%,10.00%,42877,26447,61.85%,38.15%,23.70%,23.70%,21.21%,-19.86%,-11.21%,-16.06%,-7.61%
Alabama,Walker,"Walker, AL ",20719,7418,73.64%,26.36%,47.27%,30.00%,53.44%,19167,9016,68.01%,31.99%,36.02%,30.00%,33.53%,11.25%,19.91%,8.27%,16.72%
Alabama,Washington,"Washington, AL ",5592,3032,64.84%,35.16%,29.68%,29.68%,35.85%,5060,3145,61.67%,38.33%,23.34%,23.34%,20.85%,6.35%,15.00%,5.14%,13.59%
Alabama,Wilcox,"Wilcox, AL ",1849,4553,28.88%,71.12%,-42.24%,-30.00%,-36.07%,1834,3838,32.33%,67.67%,-35.33%,-30.00%,-37.82%,-6.91%,1.75%,-10.68%,-2.23%
Alabama,Winston,"Winston, AL ",8099,1756,82.18%,17.82%,64.36%,30.00%,70.53%,8130,2236,78.43%,21.57%,56.86%,30.00%,54.37%,7.50%,16.16%,4.78%,13.23%
Arizona,Apache,"Apache, AZ ",7844,14434,35.21%,64.79%,-29.58%,-29.58%,-23.42%,8384,15658,34.87%,65.13%,-30.26%,-30.00%,-32.74%,0.67%,9.33%,0.97%,9.41%
Arizona,Cochise,"Cochise, AZ ",25505,15752,61.82%,38.18%,23.64%,23.64%,29.81%,26556,17514,60.26%,39.74%,20.52%,20.52%,18.03%,3.12%,11.78%,2.59%,11.03%
Arizona,Coconino,"Coconino, AZ ",19949,27064,42.43%,57.57%,-15.13%,-15.13%,-8.97%,22526,29243,43.51%,56.49%,-12.97%,-12.97%,-15.46%,-2.16%,6.49%,-2.48%,5.96%
Arizona,Gila,"Gila, AZ ",12886,7298,63.84%,36.16%,27.69%,27.69%,33.85%,12343,8314,59.75%,40.25%,19.50%,19.50%,17.02%,8.18%,16.83%,6.85%,15.29%
Arizona,Graham,"Graham, AZ ",8140,3381,70.65%,29.35%,41.31%,30.00%,47.47%,7467,3185,70.10%,29.90%,40.20%,30.00%,37.71%,1.11%,9.76%,0.79%,9.23%
Arizona,Greenlee,"Greenlee, AZ ",1711,1165,59.49%,40.51%,18.98%,18.98%,25.15%,1899,1146,62.36%,37.64%,24.73%,24.73%,22.24%,-5.74%,2.91%,-4.61%,3.84%
Arizona,La Paz,"La Paz, AZ ",3302,1794,64.80%,35.20%,29.59%,29.59%,35.76%,3158,1849,63.07%,36.93%,26.14%,26.14%,23.66%,3.45%,12.10%,2.73%,11.18%
